,meaning1,meaning2,meaning1_clean,meaning2_clean,realizations
2293,"to make, create",to give birth,to make or create,to give birth,3
2294,to meet,to happen,to meet,to happen,4
2295,to meet (each other),to quarrel,to meet each other,to quarrel,1
2296,to milk,to derive profit,to milk,to derive profit,1
2297,to milk,to extort (money from smb.),to milk,to extort money from ,5
2298,to milk,to spawn,to milk,to spawn,2
2299,to mill,"to destroy, annihilate",to mill,to destroy or annihilate,2
2300,to mill,to eat,to mill,to eat,1
2301,to mill,"to learn, study",to mill,to learn or study,1
2302,to mill,to oppress,to mill,to oppress,1
2303,to mill,to purr,to mill,to purr,1
2304,to mill,to talk nonsense,to mill,to talk nonsense,4
2305,to miss the target,to break deadline,to miss the target,to break deadline,1
2306,"to mix, stir",to confuse (with),to mix or stir,to confuse with,6
2307,"to mix, stir",to hinder,to mix or stir,to hinder,6
2308,"to mix, stir",to involve,to mix or stir,to involve,1
2309,"to mix, stir",to make disordered,to mix or stir,to make disordered,2
2310,"to mix, stir","to revolt, rebel",to mix or stir,to revolt or rebel,3
2311,"to mix, stir",to spoil (tr.),to mix or stir,to spoil ,2
2312,"to mix, stir",to swim,to mix or stir,to swim,1
2313,"to mix, stir",to waste,to mix or stir,to waste,1
2314,"to mix, stir","to worry, be agitated",to mix or stir,to worry or be agitated,7
2315,to move,to go mad,to move,to go mad,1
2316,to move,to make a move (in a game),to move,to make a move in a game,2
2317,to move away,"to destroy, annihilate",to move away,to destroy or annihilate,5
2318,to move away,to kill,to move away,to kill,2
2319,to move quickly,to become ready (of food),to move quickly,to become ready of food,1
2320,to move quickly,"to care for, look after",to move quickly,to care for or look after,1
2321,"to move, to shift, to transfer",to translate,to move or to shift or to transfer,to translate,3
2322,to nail,to crucify,to nail,to crucify,2
2323,to nail,to stare,to nail,to stare,1
2324,to neigh,to laugh,to neigh,to laugh,10
2325,to nomadize,to make a move (in a game),to become nomadic,to make a move in a game,2
2326,to open (tr.),to begin (tr.),to open ,to begin ,3
2327,to open (tr.),to explain,to open ,to explain,2
2328,to open (tr.),to find,to open ,to find,2
2329,to open (tr.),to judge,to open ,to judge,1
2330,to open (tr.),"to learn, find out",to open ,to learn or find out,5
2331,to open (tr.),"to occupy, to conquest (territory)",to open ,to occupy or to conquest territory,1
2332,to open (tr.),to rest,to open ,to rest,1
2333,to open (tr.),to switch on,to open ,to switch on,3
2334,to open (tr.),to waste,to open ,to waste,1
2335,to pass by,"to fade, lose colour",to pass by,to fade or lose color,2
2336,to pass by,to happen,to pass by,to happen,2
2337,to pass by,to pass (of time),to pass by,to pass of time,12
2338,to pass by,to stop feeling pain,to pass by,to stop feeling pain,1
2339,"to penetrate, get into",to understand,to penetrate or get into,to understand,2
2340,to perceive smell,to have smell,to perceive smell,to have smell,8
2341,to perceive smell,to know,to perceive smell,to know,1
2342,to pierce,to choose,to pierce,to choose,1
2343,to pierce,to copulate,to pierce,to copulate,1
2344,to pinch,to offend (tr.),to pinch,to offend ,1
2345,to pinch,to steal,to pinch,to steal,1
2346,to play (a musical instrument),to practice witchcraft,to play a musical instrument,to practice witchcraft,1
2347,to play (intr.),joke,to play in,joke,5
2348,to play (intr.),to speak,to play in,to speak,4
2349,to pour,"to beat, hit",to pour,to beat or hit,1
2350,to practice witchcraft,"to make, create",to practice witchcraft,to make or create,1
2351,to practice witchcraft,to prevent,to practice witchcraft,to prevent,1
2352,to pray,mantis,to pray,mantis,1
2353,"to precede, come first","to go forward, advance",to precede or come first,to go forward or advance,1
2354,"to present, gift",to deceive,to present or gift,to deceive,1
2355,"to present, gift",to promise,to present or gift,to promise,1
2356,to press down,brave,to press down,brave,1
2357,to press down,"to approach, come near",to press down,to approach or come near,2
2358,to press down,"to hatch out, brood",to press down,to hatch out or brood,1
2359,to press down,to hide (tr.),to press down,to hide ,1
2360,to press down,to make do smth.,to press down,to make do ,1
2361,to press down,to oppress,to press down,to oppress,12
2362,to press down,to print,to press down,to print,5
2363,to press down,"to restrain, control one’s feelings",to press down,to restrain or control  feelings,4
2364,to press down,to suck,to press down,to suck,1
2365,to press down,to visit,to press down,to visit,1
2366,to prop up,"to help, aid",to prop up,to help or aid,16
2367,to pull hair,"to fight, to be at war",to pull hair,to fight or to be at war,1
2368,to pull up (a plant),"to destroy, annihilate",to pull up a plant,to destroy or annihilate,3
2369,"to pull, to draw",to be alike,to pull or to draw,to be alike,2
2370,"to pull, to draw","to beat, hit",to pull or to draw,to beat or hit,3
2371,"to pull, to draw",to build,to pull or to draw,to build,1
2372,"to pull, to draw",to compete (with smn.),to pull or to draw,to compete with sm,3
2373,"to pull, to draw","to distill, retort",to pull or to draw,to distill or retort,1
2374,"to pull, to draw",to distort,to pull or to draw,to distort,1
2375,"to pull, to draw",to draw (an official paper),to pull or to draw,to draw an official paper,2
2376,"to pull, to draw","to draw, paint",to pull or to draw,to draw or paint,3
2377,"to pull, to draw",to drink,to pull or to draw,to drink,3
2378,"to pull, to draw",to endure,to pull or to draw,to endure,1
2379,"to pull, to draw","to get a cramp, spasm",to pull or to draw,to get a cramp or spasm,1
2380,"to pull, to draw","to govern, control, rule",to pull or to draw,to govern or control or rule,1
2381,"to pull, to draw",to last,to pull or to draw,to last,2
2382,"to pull, to draw",to make a move (in a game),to pull or to draw,to make a move in a game,2
2383,"to pull, to draw",to milk,to pull or to draw,to milk,2
2384,"to pull, to draw",to row (with oars),to pull or to draw,to row with oars,2
2385,"to pull, to draw",to shrink (of textile),to pull or to draw,to shrink of textile,1
2386,"to pull, to draw","to slow, linger",to pull or to draw,to slow or linger,12
2387,"to pull, to draw","to smear, anoint",to pull or to draw,to smear or anoint,1
2388,"to pull, to draw",to smoke (tobacco),to pull or to draw,to smoke tobacco,8
2389,"to pull, to draw",to thresh (grain),to pull or to draw,to thresh grain,2
2390,"to pull, to draw",to torture,to pull or to draw,to torture,1
2391,to pursue,"to care for, look after",to pursue,to care for or look after,1
2392,to push,to bribe,to push,to bribe,1
2393,to put,to bake,to put,to bake,1
2394,to put,to build,to put,to build,6
2395,to put,to bury,to put,to bury,2
2396,to put,"to castrate, geld",to put,to castrate or geld,2
2397,to put,to decide,to put,to decide,1
2398,to put,to defecate,to put,to defecate,2
2399,to put,"to establish, found",to put,to establish or found,3
2400,to put,to give birth,to put,to give birth,2
2401,to put,to have opinion,to put,to have opinion,1
2402,to put,to leave,to put,to leave,3
2403,to put,"to let grow (of beard, moustaches, hairs)",to put,to let grow of beard or mustaches or hairs,1
2404,to put into,to bribe,to put into,to bribe,2
2405,to put into,to eat,to put into,to eat,1
2406,to put into the ground,to bury,to put into the ground,to bury,10
2407,to put out,to subtract,to put out,to subtract,1
2408,to put out,to tell,to put out,to tell,1
2409,to put shoes on,to deceive,to put shoes on,to deceive,2
2410,to put together,to reconcile,to put together,to reconcile,1
2411,"to raise, lift (tr.)",pregnant,to raise or lift ,pregnant,1
2412,"to raise, lift (tr.)",to abolish,to raise or lift ,to abolish,12
2413,"to raise, lift (tr.)",to awaken,to raise or lift ,to awaken,7
2414,"to raise, lift (tr.)",to begin (tr.),to raise or lift ,to begin ,1
2415,"to raise, lift (tr.)",to bring into discussion,to raise or lift ,to bring into discussion,3
2416,"to raise, lift (tr.)",to bring up,to raise or lift ,to bring up,4
2417,"to raise, lift (tr.)",to build,to raise or lift ,to build,17
2418,"to raise, lift (tr.)","to discharge, dismiss",to raise or lift ,to discharge or dismiss,1
2419,"to raise, lift (tr.)","to end, finish",to raise or lift ,to end or finish,2
2420,"to raise, lift (tr.)",to feel sick,to raise or lift ,to feel sick,2
2421,"to raise, lift (tr.)","to grasp, seize",to raise or lift ,to grasp or seize,1
2422,"to raise, lift (tr.)",to plough,to raise or lift ,to plow,1
2423,"to raise, lift (tr.)",to praise,to raise or lift ,to praise,3
2424,"to raise, lift (tr.)","to present, gift",to raise or lift ,to present or gift,3
2425,"to raise, lift (tr.)",to record,to raise or lift ,to record,1
2426,to reach,"can, to be able",to reach,can or to be able,2
2427,to reach,must,to reach,must,1
2428,to reach,to be enough,to reach,to be enough,6
2429,to reach,to become ready (of food),to reach,to become ready of food,3
2430,to reach,"to get, obtain",to reach,to get or obtain,5
2431,to reach,to mature,to reach,to mature,6
2432,to reach,to ripen,to reach,to ripen,3
2433,to read,to scold,to read,to scold,1
2434,to refuse,"to hate, to dislike",to refuse,to hate or to dislike,1
2435,to rein in,"to restrain, control one’s feelings",to rein in,to restrain or control  feelings,2
2436,"to remain, stay",corpse,to remain or stay,corpse,1
2437,"to remain, stay",to stop doing smth.,to remain or stay,to stop doing ,2
2438,to remind,to be alike,to remind,to be alike,7
2439,to repeat,"to learn, study",to repeat,to learn or study,1
2440,to repeat,to tell,to repeat,to tell,2
2441,to respect,"to treat, regale",to respect,to treat or regale,3
2442,to rest,to die,to rest,to die,4
2443,to rest,to stop doing smth.,to rest,to stop doing ,2
2444,to result in,child (son or daughter),to result in,child son or daughter,1
2445,to return (intr.),to become,to return in,to become,3
2446,to return (intr.),to visit,to return in,to visit,1
2447,to return (tr.),to answer,to return ,to answer,8
2448,to revere,to keep the fast,to revere,to keep the fast,1
2449,"to ride (e.g., a horse)",to copulate,to ride  or a horse,to copulate,5
2450,to ripen,ready,to ripen,ready,1
2451,to rise (of heavenly bodies),east,to rise of heavenly bodies,east,2
2452,to rivet,to work carelessly,to rivet,to work carelessly,2
2453,to rotate (tr.),to ache,to rotate ,to ache,1
2454,to rotate (tr.),to dislocate (of a joint),to rotate ,to dislocate of a joint,1
2455,to rotate (tr.),to torture,to rotate ,to torture,1
2456,to row (with oars),to be sleepy,to row with oars,to be sleepy,1
2457,to row (with oars),to fly,to row with oars,to fly,2
2458,to rub,to wash (clothes),to rub,to wash clothes,1
2459,to run,to defecate,to run,to defecate,1
2460,to run,to happen,to run,to happen,1
2461,to run,to result in,to run,to result in,1
2462,to run out (of smth),"to charm, to delight",to run out of ,to charm or to delight,1
2463,to sail,to drive (the car),to sail,to drive the car,3
2464,to sail,to fly,to sail,to fly,7
2465,to sail,to soar,to sail,to soar,5
2466,to sail into harbour,to copulate,to sail into harbor,to copulate,1
2467,to saw,to bite,to saw,to bite,1
2468,to saw,"to vex, exasperate",to saw,to vex or exasperate,1
2469,to scratch (when itches),to quarrel,to scratch when itches,to quarrel,2
2470,to scratch (with nails),to run away,to scratch with nails,to run away,1
2471,"to search, to look for",to ask (for),to search or to look for,to ask for,18
2472,"to search, to look for",to investigate,to search or to look for,to investigate,11
2473,"to search, to look for","to try, to attempt",to search or to look for,to try or to attempt,18
2474,to see/to look at,to acquire,to see or to look at,to acquire,1
2475,to see/to look at,to act according to,to see or to look at,to act according to,8
2476,to see/to look at,"to beware, be careful",to see or to look at,to beware or be careful,5
2477,to see/to look at,"to care for, look after",to see or to look at,to care for or look after,27
2478,to see/to look at,"to check, test",to see or to look at,to check or test,2
2479,to see/to look at,to find,to see or to look at,to find,4
2480,to see/to look at,to foresee,to see or to look at,to foresee,1
2481,to see/to look at,to guard,to see or to look at,to guard,1
2482,to see/to look at,to have an appearance,to see or to look at,to have an appearance,3
2483,to see/to look at,to have experience,to see or to look at,to have experience,8
2484,to see/to look at,to have opinion,to see or to look at,to have opinion,21
2485,to see/to look at,to investigate/examine,to see or to look at,to investigate or examine,4
2486,to see/to look at,to know,to see or to look at,to know,5
2487,to see/to look at,to like,to see or to look at,to like,1
2488,to see/to look at,to meet,to see or to look at,to meet,15
2489,to see/to look at,"to search, to look for",to see or to look at,to search or to look for,9
2490,to see/to look at,to tell a person's fortune,to see or to look at,to tell a person's fortune,3
2491,to see/to look at,"to try, to attempt",to see or to look at,to try or to attempt,7
2492,to see/to look at,to understand,to see or to look at,to understand,17
2493,to see/to look at,to visit,to see or to look at,to visit,4
2494,to see/to look at,to wait,to see or to look at,to wait,14
2495,to seem,to boast,to seem,to boast,1
2496,to seem,to please,to seem,to please,1
2497,to sell,to betray,to sell,to betray,1
2498,to separate,to decide,to separate,to decide,3
2499,to separate,to turn off,to separate,to turn off,1
2500,to set upright,to stop doing smth.,to set upright,to stop doing ,4
2501,to shake,"to beat, hit",to shake,to beat or hit,3
2502,to shake,to distort,to shake,to distort,1
2503,to shake,to speak,to shake,to speak,1
2504,to shake off,to get rid of,to shake off,to get rid of,1
2505,to shave,to deceive,to shave,to deceive,2
2506,to shave,to draft (for the army),to shave,to draft for the army,1
2507,to shave,"to enculturate, civilize",to shave,to assimilate or civilize,1
2508,to shear,to deceive,to shear,to deceive,2
2509,to shear,"to destroy, annihilate",to shear,to destroy or annihilate,2
2510,to shear,to move ears (of animal),to shear,to move ears of animal,2
2511,to shine,to laugh,to shine,to laugh,1
2512,to shine,to seem,to shine,to seem,1
2513,"to shine, glitter",to become visible,to shine or glitter,to become visible,1
2514,"to shine, glitter",to boast,to shine or glitter,to boast,1
2515,"to shine, glitter",to palpitate,to shine or glitter,to palpitate,1
2516,to shoot,shuttle (weaving instrument),to shoot,shuttle weaving instrument,1
2517,to shoot,to ask (for),to shoot,to ask for,1
2518,to shoot,"to discharge, dismiss",to shoot,to discharge or dismiss,2
2519,to shoot,to shock (of electric current),to shoot,to shock of electric current,1
2520,to shoot,to strike (of lightning),to shoot,to strike of lightning,2
2521,to shoot,to tell lie,to shoot,to tell lie,1
2522,to shout,"to call (somebody), to call for",to shout,to call somebody or to call for,2
2523,to shout,"to cry, weep",to shout,to cry or weep,7
2524,"to show, indicate",to teach,to show or indicate,to teach,4
2525,to shrink,to understand,to shrink,to understand,1
2526,"to shut, to close",to deceive,to shut or to close,to deceive,1
2527,"to shut, to close",to extinguish,to shut or to close,to extinguish,1
2528,"to shut, to close",to ignore,to shut or to close,to ignore,1
2529,to sing,rooster,to sing,rooster,1
2530,to sing,shaman,to sing,shaman,1
2531,to sing,to conjure,to sing,to conjure,3
2532,to sing,to glorify,to sing,to glorify,16
2533,to sink (tr.),"to conceal, make secret",to sink ,to conceal or make secret,1
2534,to sink into,to set (of heavenly bodies),to sink into,to set of heavenly bodies,8
2535,to sit,to be imprisoned,to sit,to be imprisoned,2
2536,to sit,to be situated,to sit,to be situated,4
2537,to sit,to give birth,to sit,to give birth,1
2538,to sit,"to inhabit, live",to sit,to inhabit or live,10
2539,to sit down,to set (of heavenly bodies),to sit down,to set of heavenly bodies,5
2540,to sit down,to shrink (of textile),to sit down,to shrink of textile,2
2541,to sit down,to stop doing smth.,to sit down,to stop doing ,1
2542,"to skin, flay",to rob,to skin or flay,to rob,2
2543,to sleep,motionless,to sleep,motionless,1
2544,to sleep,temple (region of skull),to sleep,temple region of skull,3
2545,to sleep,to copulate,to sleep,to copulate,7
2546,to slide,to fail,to slide,to fail,1
2547,to slide,"to make a mistake, be wrong",to slide,to make a mistake or be wrong,1
2548,to slide,to shirk,to slide,to shirk,1
2549,"to smear, anoint","to adorn, decorate",to smear or anoint,to adorn or decorate,2
2550,"to smear, anoint","to beat, hit",to smear or anoint,to beat or hit,4
2551,"to smear, anoint",to bribe,to smear or anoint,to bribe,16
2552,"to smear, anoint",to clean,to smear or anoint,to clean,2
2553,"to smear, anoint","to cure, treat (medically)",to smear or anoint,to cure or treat medically,1
2554,"to smear, anoint",to deceive,to smear or anoint,to deceive,3
2555,"to smear, anoint","to disgrace, dishonor",to smear or anoint,to disgrace or dishonor,1
2556,"to smear, anoint",to spit,to smear or anoint,to spit,1
2557,to smell bad,"polecat, ferret (Mustela putorius)",to smell bad,polecat or ferret  ,1
2558,to smell bad,to quarrel,to smell bad,to quarrel,2
2559,to smile,to please,to smile,to please,5
2560,to smooth,to lick,to smooth,to lick,1
2561,"to soil, make dirty","to disgrace, dishonor",to soil or make dirty,to disgrace or dishonor,12
2562,"to soil, make dirty",to waste,to soil or make dirty,to waste,1
2563,to sow,to drop (of liquid),to sow,to drop of liquid,2
2564,to sow,to inoculate,to sow,to inoculate,1
2565,to sow,to invest,to sow,to invest,2
2566,to sow,to lose,to sow,to lose,2
2567,to speak,to correspond,to speak,to correspond,1
2568,to speak,to give orders,to speak,to give orders,7
2569,to speak,to have opinion,to speak,to have opinion,4
2570,to speak,to live,to speak,to live,1
2571,to speak,to promise,to speak,to promise,1
2572,to speak,to quarrel,to speak,to quarrel,1
2573,to speak,to read,to speak,to read,2
2574,to spit,to bless,to spit,to bless,1
2575,to spit,to despise,to spit,to despise,2
2576,to spoil (intr.),to grieve (intr.),to spoil in,to grieve in,1
2577,to spoil (tr.),to deflorate,to spoil ,to remove flowers,2
2578,to spoil (tr.),to pamper,to spoil ,to pamper,3
2579,to spoil (tr.),"to put the evil eye (on), to bedevil",to spoil ,to put the evil eye on or to bedevil,2
2580,to spoil (tr.),to win,to spoil ,to win,1
2581,"to spring, jump",to attack,to spring or jump,to attack,1
2582,"to spring, jump","to be better than, to surpass",to spring or jump,to be better than or to surpass,1
2583,"to spring, jump",to copulate,to spring or jump,to copulate,1
2584,"to spring, jump",to dance,to spring or jump,to dance,13
2585,"to spring, jump",to rise (of heavenly bodies),to spring or jump,to rise of heavenly bodies,1
2586,"to spring, jump",to shrink (of textile),to spring or jump,to shrink of textile,2
2587,"to spring, jump","to skip over, overlook",to spring or jump,to skip over or overlook,1
2588,to sprinkle,to cut (tr.),to sprinkle,to cut ,1
2589,to sprinkle,to run,to sprinkle,to run,4
2590,to stand,to be situated,to stand,to be situated,5
2591,to stand,"to be, to take place",to stand,to be or to take place,2
2592,to stand,to become,to stand,to become,2
2593,to stand,to befit,to stand,to befit,1
2594,to stand,to consist of,to stand,to consist of,1
2595,to stand,to cost,to stand,to cost,5
2596,to stand,to depend,to stand,to depend,1
2597,to stand,to get tired,to stand,to get tired,2
2598,to stand,"to help, aid",to stand,to help or aid,1
2599,to stand,to stop (intr.),to stand,to stop in,2
2600,to stand up,to be resurrected,to stand up,to be resurrected,3
2601,to stand up,to happen,to stand up,to happen,1
2602,to stand up,"to revolt, rebel",to stand up,to revolt or rebel,9
2603,to stand up,to stop moving,to stand up,to stop moving,1
2604,to steal,to take,to steal,to take,1
2605,to step on,to attack,to step on,to attack,2
2606,to step on,to begin,to step on,to begin,2
2607,"to stick (to a surface), to adhere",greedy,to stick to a surface or to adhere,greedy,1
2608,"to stick (to a surface), to adhere",to become infected,to stick to a surface or to adhere,to become infected,1
2609,"to stick (to a surface), to adhere","to bother, pester",to stick to a surface or to adhere,to bother or pester,3
2610,"to stick (to a surface), to adhere",to flirt,to stick to a surface or to adhere,to flirt,2
2611,to sting,to induce,to sting,to induce,2
2612,to strain,to grieve (tr.),to strain,to grieve ,2
2613,to strain,to prepare,to strain,to prepare,1
2614,to strew,"rash, eruption",to strew,rash or eruption,1
2615,to strew,to hinder,to strew,to hinder,1
2616,to struggle,ruff (bird),to struggle,ruff bird,4
2617,to stumble,"to make a mistake, be wrong",to stumble,to make a mistake or be wrong,1
2618,to swallow,quinsy,to swallow,throat abscess,1
2619,to sway,to avoid,to sway,to avoid,1
2620,to sway,to doubt,to sway,to doubt,13
2621,to sway,"to walk, wander",to sway,to walk or wander,4
2622,to sway,"to worry, be agitated",to sway,to worry or be agitated,7
2623,to swear (an oath),"to swear, curse",to swear an oath,to swear or curse,9
2624,to sweat,"to worry, be agitated",to sweat,to worry or be agitated,1
2625,to sweep,to distract,to sweep,to distract,1
2626,to sweep,to refuse,to sweep,to refuse,1
2627,to swell up,to be angry,to swell up,to be angry,4
2628,to swell up,to swagger,to swell up,to swagger,2
2629,to swim,to climb,to swim,to climb,1
2630,to take,to bring to order,to take,to bring to order,1
2631,to take,to buy,to take,to buy,14
2632,to take,"to ferment, yeast",to take,to ferment or yeast,1
2633,to take,to marry,to take,to marry,5
2634,to take,to subtract,to take,to subtract,3
2635,to take off (tr.),to move away,to take off ,to move away,2
2636,to take out,"to distill, retort",to take out,to distill or retort,1
2637,to take prisoner,"to charm, to delight",to take prisoner,to charm or to delight,6
2638,to tame,to kill,to tame,to kill,1
2639,to taste,to feel (an emotion),to taste,to feel an emotion,10
2640,to taste,to like,to taste,to like,1
2641,to teach,to punish,to teach,to punish,2
2642,"to tear off, peel off","to carp, find faults",to tear off or peel off,to carp or find faults,1
2643,"to tear off, peel off",to make empty,to tear off or peel off,to make empty,1
2644,"to tear, rend",to eat,to tear or rend,to eat,1
2645,"to tear, rend",to flog,to tear or rend,to flog,1
2646,"to tear, rend",to move quickly,to tear or rend,to move quickly,2
2647,"to tear, rend",to vomit,to tear or rend,to vomit,1
2648,to tell,to ask for consent to marriage,to tell,to ask for consent to marriage,1
2649,to tell,to like,to tell,to like,1
2650,to tell,to name,to tell,to name,1
2651,to tell a person's fortune,"to loaf, do nothing",to tell a person's fortune,to loaf or do nothing,1
2652,to think,to grieve (intr.),to think,to grieve in,2
2653,to think,to intend,to think,to intend,12
2654,to think,"to recall, recollect",to think,to recall or recollect,5
2655,to throw,"to accuse, blame",to throw,to accuse or blame,2
2656,to throw,to begin,to throw,to begin,1
2657,to throw,to cast out,to throw,to cast out,2
2658,to throw,to copulate,to throw,to copulate,1
2659,to throw,"to draw, paint",to throw,to draw or paint,1
2660,to throw,to kick,to throw,to kick,1
2661,to throw,to run,to throw,to run,1
2662,to throw,to shoot,to throw,to shoot,11
2663,to throw,to speak,to throw,to speak,2
2664,to throw,"to spring, jump",to throw,to spring or jump,1
2665,to throw,to stop doing smth.,to throw,to stop doing ,8
2666,to throw,to tell lie,to throw,to tell lie,1
2667,to throw,to winnow,to throw,to winnow,1
2668,to thrust (into),to ache,to thrust into,to ache,10
2669,to thrust (into),"to butt, to hit with the horns",to thrust into,to butt or to hit with the horns,3
2670,to thrust (into),to practice witchcraft,to thrust into,to practice witchcraft,1
2671,to thrust (into),to quarrel,to thrust into,to quarrel,1
2672,to tickle,to make noise,to tickle,to make noise,2
2673,to tie,strong,to tie,strong,1
2674,to tie,to begin (tr.),to tie,to begin ,6
2675,to tie,"to conceive, to become pregnant",to tie,to conceive or to become pregnant,1
2676,to tie,to form the fruit (of plant),to tie,to form the fruit of plant,1
2677,to tie,to stop doing smth.,to tie,to stop doing ,3
2678,to tin,"to disgrace, dishonor",to tin,to disgrace or dishonor,2
2679,to touch,to be related to,to touch,to be related to,4
2680,to touch,to become infected,to touch,to become infected,2
2681,to touch,to cause to moving,to touch,to cause to moving,1
2682,to touch,"to communicate, be on friendly terms",to touch,to communicate or be on friendly terms,1
2683,to touch,to evoke (a feeling),to touch,to evoke a feeling,7
2684,to touch,to hit the target,to touch,to hit the target,1
2685,to touch,to offend (tr.),to touch,to offend ,4
2686,to touch,to reach,to touch,to reach,4
2687,to touch,"to soil, make dirty",to touch,to soil or make dirty,1
2688,to transit,to become,to transit,to become,3
2689,to transit,to infringe,to transit,to infringe,1
2690,to transit,"to surpass, exceed",to transit,to surpass or exceed,1
2691,to transit,to win,to transit,to win,1
2692,to tread,to copulate,to tread,to copulate,7
2693,to tread,"to destroy, annihilate",to tread,to destroy or annihilate,1
2694,to tread,to infringe,to tread,to infringe,1
2695,to tread,to oppress,to tread,to oppress,2
2696,to tread,to thresh (grain),to tread,to thresh grain,3
2697,to tremble,to fear,to tremble,to fear,19
2698,"to try, to attempt","to fit, try on",to try or to attempt,to fit or try on,1
2699,to turn back to look at smth.,to return (intr.),to turn back to look at ,to return in,1
2700,to turn over,to fail,to turn over,to fail,1
2701,to turn round,"to appear, emerge",to turn round,to appear or emerge,1
2702,to turn sour,to grieve (intr.),to turn sour,to grieve in,4
2703,"to turn, rotate (intr.)","to address (someone), to speak (to someone)",to turn or rotate in,to address someone or to speak to someone,1
2704,"to turn, rotate (intr.)",to become,to turn or rotate in,to become,15
2705,"to turn, rotate (intr.)",to feel dizzy,to turn or rotate in,to feel dizzy,6
2706,"to turn, rotate (intr.)",to return (intr.),to turn or rotate in,to return in,5
2707,"to turn, rotate (intr.)",to stop doing smth.,to turn or rotate in,to stop doing ,2
2708,"to turn, rotate (tr.)",to change (tr.),to turn or rotate ,to change ,3
2709,"to turn, rotate (tr.)",to distort,to turn or rotate ,to distort,2
2710,"to turn, rotate (tr.)","to govern, control, rule",to turn or rotate ,to govern or control or rule,1
2711,"to turn, rotate (tr.)",to invest,to turn or rotate ,to invest,1
2712,"to turn, rotate (tr.)",to translate,to turn or rotate ,to translate,6
2713,to understand,to obey,to understand,to obey,1
2714,to undress (intr.),to challenge,to undress in,to challenge,1
2715,to undress (tr.),to rob,to undress ,to rob,3
2716,to undress (tr.),"to skin, flay",to undress ,to skin or flay,2
2717,"to unfold, unwind",to create a text,to unfold or unwind,to create a text,1
2718,"to unfold, unwind",to develop,to unfold or unwind,to develop,6
2719,"to unfold, unwind",to go after smb.,to unfold or unwind,to go after ,1
2720,"to untie, unbind",to begin (tr.),to untie or unbind,to begin ,1
2721,"to untie, unbind",to explain,to untie or unbind,to explain,9
2722,"to untie, unbind",to forgive,to untie or unbind,to forgive,1
2723,"to untie, unbind",to let,to untie or unbind,to let,1
2724,"to untie, unbind",to set free,to untie or unbind,to set free,9
2725,"to untie, unbind",to solve (a problem),to untie or unbind,to solve a problem,18
2726,"to untie, unbind",to stop doing smth.,to untie or unbind,to stop doing ,2
2727,to use,to employ,to use,to employ,1
2728,to vomit,"to swear, curse",to vomit,to swear or curse,1
2729,to wait,"to care for, look after",to wait,to care for or look after,6
2730,to wait,to need,to wait,to need,1
2731,to wake up (intr.),to erupt,to wake up in,to erupt,1
2732,"to walk, wander",to be engaged in commerce,to walk or wander,to be engaged in commerce,1
2733,"to walk, wander",to fornicate,to walk or wander,to fornicate,4
2734,"to walk, wander",to visit,to walk or wander,to visit,1
2735,to want,to fornicate,to want,to fornicate,1
2736,to want,to hunt,to want,to hunt,1
2737,to warm up,"to beat, hit",to warm up,to beat or hit,1
2738,to wash,to celebrate,to wash,to celebrate,1
2739,to wave (of water),"to worry, be agitated",to wave of water,to worry or be agitated,9
2740,to weaken (intr.),purgative (medicine),to weaken in,purgative medicine,1
2741,to weaken (intr.),to get drunk,to weaken in,to get drunk,1
2742,to weaken (intr.),to get tired,to weaken in,to get tired,1
2743,"to weaken, loosen",to fold (cloth),to weaken or loosen,to fold cloth,1
2744,to weigh (intr.),to think,to weigh in,to think,8
2745,"to wet, moisten","to beat, hit",to wet or moisten,to beat or hit,1
2746,"to wet, moisten",to dye,to wet or moisten,to dye,3
2747,to whet,to improve,to whet,to improve,5
2748,to wipe,to abolish,to wipe,to abolish,1
2749,to work,to give birth,to work,to give birth,4
2750,to wound (tr.),to offend (tr.),to wound ,to offend ,12
2751,to write,"to learn, study",to write,to learn or study,1
2752,toad,moon,toad,moon,1
2753,tongue (body part),cape,tongue body part,cape,2
2754,tongue (body part),captive,tongue body part,captive,2
2755,tongue (body part),gulf,tongue body part,gulf,2
2756,tongue (body part),"salient part, ledge",tongue body part,salient part or ledge,2
2757,tongue (body part),speech,tongue body part,speech,11
2758,tongue (body part),string (of a musical instrument),tongue body part,string of a musical instrument,1
2759,tooth,blade,tooth,blade,1
2760,tooth,clove (of a garlic),tooth,clove of a garlic,2
2761,tooth,"clove, segment",tooth,clove or segment,2
2762,tooth,horn,tooth,horn,9
2763,tooth,"rock, crag, cliff",tooth,rock or crag or cliff,1
2764,tooth,"salient part, ledge",tooth,salient part or ledge,10
2765,tooth,scissors,tooth,scissors,1
2766,tooth,tentacle (of animals),tooth,tentacle of animals,1
2767,tooth,thorn,tooth,thorn,1
2768,top,east,top,east,1
2769,top,eminent man,top,eminent man,1
2770,torso,person,torso,person,1
2771,"tortoise, turtle",Gemini (constellation),tortoise or turtle,Gemini constellation,1
2772,"tortoise, turtle",cuckold,tortoise or turtle,cuckold,1
2773,touched,insane,touched,insane,2
2774,tower,prison,tower,prison,1
2775,toy,flower,toy,flower,2
2776,transparent,comprehensible,transparent,comprehensible,10
2777,tree,coffin,tree,coffin,3
2778,tree,spear,tree,spear,2
2779,trench,afterbirth,trench,afterbirth,1
