,meaning1,meaning2,meaning1_clean,meaning2_clean
2464,to sail,to fly,to sail,to fly
2465,to sail,to soar,to sail,to soar
2466,to sail into harbour,to copulate,to sail into harbor,to copulate
2467,to saw,to bite,to saw,to bite
2468,to saw,"to vex, exasperate",to saw,to vex or exasperate
2469,to scratch (when itches),to quarrel,to scratch when itches,to quarrel
2470,to scratch (with nails),to run away,to scratch with nails,to run away
2471,"to search, to look for",to ask (for),to search or to look for,to ask for
2472,"to search, to look for",to investigate,to search or to look for,to investigate
2473,"to search, to look for","to try, to attempt",to search or to look for,to try or to attempt
2474,to see/to look at,to acquire,to see or to look at,to acquire
2475,to see/to look at,to act according to,to see or to look at,to act according to
2476,to see/to look at,"to beware, be careful",to see or to look at,to beware or be careful
2477,to see/to look at,"to care for, look after",to see or to look at,to care for or look after
2478,to see/to look at,"to check, test",to see or to look at,to check or test
2479,to see/to look at,to find,to see or to look at,to find
2480,to see/to look at,to foresee,to see or to look at,to foresee
2481,to see/to look at,to guard,to see or to look at,to guard
2482,to see/to look at,to have an appearance,to see or to look at,to have an appearance
2483,to see/to look at,to have experience,to see or to look at,to have experience
2484,to see/to look at,to have opinion,to see or to look at,to have opinion
2485,to see/to look at,to investigate/examine,to see or to look at,to investigate or examine
2486,to see/to look at,to know,to see or to look at,to know
2487,to see/to look at,to like,to see or to look at,to like
2488,to see/to look at,to meet,to see or to look at,to meet
2489,to see/to look at,"to search, to look for",to see or to look at,to search or to look for
2490,to see/to look at,to tell a person's fortune,to see or to look at,to tell a person's fortune
2491,to see/to look at,"to try, to attempt",to see or to look at,to try or to attempt
2492,to see/to look at,to understand,to see or to look at,to understand
2493,to see/to look at,to visit,to see or to look at,to visit
2494,to see/to look at,to wait,to see or to look at,to wait
2495,to seem,to boast,to seem,to boast
2496,to seem,to please,to seem,to please
2497,to sell,to betray,to sell,to betray
2498,to separate,to decide,to separate,to decide
2499,to separate,to turn off,to separate,to turn off
2500,to set upright,to stop doing smth.,to set upright,to stop doing 
2501,to shake,"to beat, hit",to shake,to beat or hit
2502,to shake,to distort,to shake,to distort
2503,to shake,to speak,to shake,to speak
2504,to shake off,to get rid of,to shake off,to get rid of
2505,to shave,to deceive,to shave,to deceive
2506,to shave,to draft (for the army),to shave,to draft for the army
2507,to shave,"to enculturate, civilize",to shave,to assimilate or civilize
2508,to shear,to deceive,to shear,to deceive
2509,to shear,"to destroy, annihilate",to shear,to destroy or annihilate
2510,to shear,to move ears (of animal),to shear,to move ears of animal
2511,to shine,to laugh,to shine,to laugh
2512,to shine,to seem,to shine,to seem
2513,"to shine, glitter",to become visible,to shine or glitter,to become visible
2514,"to shine, glitter",to boast,to shine or glitter,to boast
2515,"to shine, glitter",to palpitate,to shine or glitter,to palpitate
2516,to shoot,shuttle (weaving instrument),to shoot,shuttle weaving instrument
2517,to shoot,to ask (for),to shoot,to ask for
2518,to shoot,"to discharge, dismiss",to shoot,to discharge or dismiss
2519,to shoot,to shock (of electric current),to shoot,to shock of electric current
2520,to shoot,to strike (of lightning),to shoot,to strike of lightning
2521,to shoot,to tell lie,to shoot,to tell lie
2522,to shout,"to call (somebody), to call for",to shout,to call somebody or to call for
2523,to shout,"to cry, weep",to shout,to cry or weep
2524,"to show, indicate",to teach,to show or indicate,to teach
2525,to shrink,to understand,to shrink,to understand
2526,"to shut, to close",to deceive,to shut or to close,to deceive
2527,"to shut, to close",to extinguish,to shut or to close,to extinguish
2528,"to shut, to close",to ignore,to shut or to close,to ignore
2529,to sing,rooster,to sing,rooster
2530,to sing,shaman,to sing,shaman
2531,to sing,to conjure,to sing,to conjure
2532,to sing,to glorify,to sing,to glorify
2533,to sink (tr.),"to conceal, make secret",to sink ,to conceal or make secret
2534,to sink into,to set (of heavenly bodies),to sink into,to set of heavenly bodies
2535,to sit,to be imprisoned,to sit,to be imprisoned
2536,to sit,to be situated,to sit,to be situated
2537,to sit,to give birth,to sit,to give birth
2538,to sit,"to inhabit, live",to sit,to inhabit or live
2539,to sit down,to set (of heavenly bodies),to sit down,to set of heavenly bodies
2540,to sit down,to shrink (of textile),to sit down,to shrink of textile
2541,to sit down,to stop doing smth.,to sit down,to stop doing 
2542,"to skin, flay",to rob,to skin or flay,to rob
2543,to sleep,motionless,to sleep,motionless
2544,to sleep,temple (region of skull),to sleep,temple region of skull
2545,to sleep,to copulate,to sleep,to copulate
2546,to slide,to fail,to slide,to fail
2547,to slide,"to make a mistake, be wrong",to slide,to make a mistake or be wrong
2548,to slide,to shirk,to slide,to shirk
2549,"to smear, anoint","to adorn, decorate",to smear or anoint,to adorn or decorate
2550,"to smear, anoint","to beat, hit",to smear or anoint,to beat or hit
2551,"to smear, anoint",to bribe,to smear or anoint,to bribe
2552,"to smear, anoint",to clean,to smear or anoint,to clean
2553,"to smear, anoint","to cure, treat (medically)",to smear or anoint,to cure or treat medically
2554,"to smear, anoint",to deceive,to smear or anoint,to deceive
2555,"to smear, anoint","to disgrace, dishonor",to smear or anoint,to disgrace or dishonor
2556,"to smear, anoint",to spit,to smear or anoint,to spit
2557,to smell bad,"polecat, ferret (Mustela putorius)",to smell bad,polecat or ferret  
2558,to smell bad,to quarrel,to smell bad,to quarrel
2559,to smile,to please,to smile,to please
2560,to smooth,to lick,to smooth,to lick
2561,"to soil, make dirty","to disgrace, dishonor",to soil or make dirty,to disgrace or dishonor
2562,"to soil, make dirty",to waste,to soil or make dirty,to waste
2563,to sow,to drop (of liquid),to sow,to drop of liquid
2564,to sow,to inoculate,to sow,to inoculate
2565,to sow,to invest,to sow,to invest
2566,to sow,to lose,to sow,to lose
2567,to speak,to correspond,to speak,to correspond
2568,to speak,to give orders,to speak,to give orders
2569,to speak,to have opinion,to speak,to have opinion
2570,to speak,to live,to speak,to live
2571,to speak,to promise,to speak,to promise
2572,to speak,to quarrel,to speak,to quarrel
2573,to speak,to read,to speak,to read
2574,to spit,to bless,to spit,to bless
2575,to spit,to despise,to spit,to despise
2576,to spoil (intr.),to grieve (intr.),to spoil ,to grieve 
2577,to spoil (tr.),to deflorate,to spoil ,to remove flowers
2578,to spoil (tr.),to pamper,to spoil ,to pamper
2579,to spoil (tr.),"to put the evil eye (on), to bedevil",to spoil ,to put the evil eye on or to bedevil
2580,to spoil (tr.),to win,to spoil ,to win
2581,"to spring, jump",to attack,to spring or jump,to attack
2582,"to spring, jump","to be better than, to surpass",to spring or jump,to be better than or to surpass
2583,"to spring, jump",to copulate,to spring or jump,to copulate
2584,"to spring, jump",to dance,to spring or jump,to dance
2585,"to spring, jump",to rise (of heavenly bodies),to spring or jump,to rise of heavenly bodies
2586,"to spring, jump",to shrink (of textile),to spring or jump,to shrink of textile
2587,"to spring, jump","to skip over, overlook",to spring or jump,to skip over or overlook
2588,to sprinkle,to cut (tr.),to sprinkle,to cut 
2589,to sprinkle,to run,to sprinkle,to run
2590,to stand,to be situated,to stand,to be situated
2591,to stand,"to be, to take place",to stand,to be or to take place
2592,to stand,to become,to stand,to become
2593,to stand,to befit,to stand,to befit
2594,to stand,to consist of,to stand,to consist of
2595,to stand,to cost,to stand,to cost
2596,to stand,to depend,to stand,to depend
2597,to stand,to get tired,to stand,to get tired
2598,to stand,"to help, aid",to stand,to help or aid
2599,to stand,to stop (intr.),to stand,to stop 
2600,to stand up,to be resurrected,to stand up,to be resurrected
2601,to stand up,to happen,to stand up,to happen
2602,to stand up,"to revolt, rebel",to stand up,to revolt or rebel
2603,to stand up,to stop moving,to stand up,to stop moving
2604,to steal,to take,to steal,to take
2605,to step on,to attack,to step on,to attack
2606,to step on,to begin,to step on,to begin
2607,"to stick (to a surface), to adhere",greedy,to stick to a surface or to adhere,greedy
2608,"to stick (to a surface), to adhere",to become infected,to stick to a surface or to adhere,to become infected
2609,"to stick (to a surface), to adhere","to bother, pester",to stick to a surface or to adhere,to bother or pester
2610,"to stick (to a surface), to adhere",to flirt,to stick to a surface or to adhere,to flirt
2611,to sting,to induce,to sting,to induce
2612,to strain,to grieve (tr.),to strain,to grieve 
2613,to strain,to prepare,to strain,to prepare
2614,to strew,"rash, eruption",to strew,rash or eruption
2615,to strew,to hinder,to strew,to hinder
2616,to struggle,ruff (bird),to struggle,ruff bird
2617,to stumble,"to make a mistake, be wrong",to stumble,to make a mistake or be wrong
2618,to swallow,quinsy,to swallow,throat abscess
2619,to sway,to avoid,to sway,to avoid
2620,to sway,to doubt,to sway,to doubt
2621,to sway,"to walk, wander",to sway,to walk or wander
2622,to sway,"to worry, be agitated",to sway,to worry or be agitated
2623,to swear (an oath),"to swear, curse",to swear an oath,to swear or curse
2624,to sweat,"to worry, be agitated",to sweat,to worry or be agitated
2625,to sweep,to distract,to sweep,to distract
2626,to sweep,to refuse,to sweep,to refuse
2627,to swell up,to be angry,to swell up,to be angry
2628,to swell up,to swagger,to swell up,to swagger
2629,to swim,to climb,to swim,to climb
2630,to take,to bring to order,to take,to bring to order
2631,to take,to buy,to take,to buy
2632,to take,"to ferment, yeast",to take,to ferment or yeast
2633,to take,to marry,to take,to marry
2634,to take,to subtract,to take,to subtract
2635,to take off (tr.),to move away,to take off ,to move away
2636,to take out,"to distill, retort",to take out,to distill or retort
2637,to take prisoner,"to charm, to delight",to take prisoner,to charm or to delight
2638,to tame,to kill,to tame,to kill
2639,to taste,to feel (an emotion),to taste,to feel an emotion
2640,to taste,to like,to taste,to like
2641,to teach,to punish,to teach,to punish
2642,"to tear off, peel off","to carp, find faults",to tear off or peel off,to carp or find faults
2643,"to tear off, peel off",to make empty,to tear off or peel off,to make empty
2644,"to tear, rend",to eat,to tear or rend,to eat
2645,"to tear, rend",to flog,to tear or rend,to flog
2646,"to tear, rend",to move quickly,to tear or rend,to move quickly
2647,"to tear, rend",to vomit,to tear or rend,to vomit
2648,to tell,to ask for consent to marriage,to tell,to ask for consent to marriage
2649,to tell,to like,to tell,to like
2650,to tell,to name,to tell,to name
2651,to tell a person's fortune,"to loaf, do nothing",to tell a person's fortune,to loaf or do nothing
2652,to think,to grieve (intr.),to think,to grieve 
2653,to think,to intend,to think,to intend
2654,to think,"to recall, recollect",to think,to recall or recollect
2655,to throw,"to accuse, blame",to throw,to accuse or blame
2656,to throw,to begin,to throw,to begin
2657,to throw,to cast out,to throw,to cast out
2658,to throw,to copulate,to throw,to copulate
2659,to throw,"to draw, paint",to throw,to draw or paint
2660,to throw,to kick,to throw,to kick
2661,to throw,to run,to throw,to run
2662,to throw,to shoot,to throw,to shoot
2663,to throw,to speak,to throw,to speak
2664,to throw,"to spring, jump",to throw,to spring or jump
2665,to throw,to stop doing smth.,to throw,to stop doing 
2666,to throw,to tell lie,to throw,to tell lie
2667,to throw,to winnow,to throw,to winnow
2668,to thrust (into),to ache,to thrust into,to ache
2669,to thrust (into),"to butt, to hit with the horns",to thrust into,to butt or to hit with the horns
2670,to thrust (into),to practice witchcraft,to thrust into,to practice witchcraft
2671,to thrust (into),to quarrel,to thrust into,to quarrel
2672,to tickle,to make noise,to tickle,to make noise
2673,to tie,strong,to tie,strong
2674,to tie,to begin (tr.),to tie,to begin 
2675,to tie,"to conceive, to become pregnant",to tie,to conceive or to become pregnant
2676,to tie,to form the fruit (of plant),to tie,to form the fruit of plant
2677,to tie,to stop doing smth.,to tie,to stop doing 
2678,to tin,"to disgrace, dishonor",to tin,to disgrace or dishonor
2679,to touch,to be related to,to touch,to be related to
2680,to touch,to become infected,to touch,to become infected
2681,to touch,to cause to moving,to touch,to cause to moving
2682,to touch,"to communicate, be on friendly terms",to touch,to communicate or be on friendly terms
2683,to touch,to evoke (a feeling),to touch,to evoke a feeling
2684,to touch,to hit the target,to touch,to hit the target
2685,to touch,to offend (tr.),to touch,to offend 
2686,to touch,to reach,to touch,to reach
2687,to touch,"to soil, make dirty",to touch,to soil or make dirty
2688,to transit,to become,to transit,to become
2689,to transit,to infringe,to transit,to infringe
2690,to transit,"to surpass, exceed",to transit,to surpass or exceed
2691,to transit,to win,to transit,to win
2692,to tread,to copulate,to tread,to copulate
2693,to tread,"to destroy, annihilate",to tread,to destroy or annihilate
2694,to tread,to infringe,to tread,to infringe
2695,to tread,to oppress,to tread,to oppress
2696,to tread,to thresh (grain),to tread,to thresh grain
2697,to tremble,to fear,to tremble,to fear
2698,"to try, to attempt","to fit, try on",to try or to attempt,to fit or try on
2699,to turn back to look at smth.,to return (intr.),to turn back to look at ,to return 
2700,to turn over,to fail,to turn over,to fail
2701,to turn round,"to appear, emerge",to turn round,to appear or emerge
2702,to turn sour,to grieve (intr.),to turn sour,to grieve 
2703,"to turn, rotate (intr.)","to address (someone), to speak (to someone)",to turn or rotate ,to address someone or to speak to someone
2704,"to turn, rotate (intr.)",to become,to turn or rotate ,to become
2705,"to turn, rotate (intr.)",to feel dizzy,to turn or rotate ,to feel dizzy
2706,"to turn, rotate (intr.)",to return (intr.),to turn or rotate ,to return 
2707,"to turn, rotate (intr.)",to stop doing smth.,to turn or rotate ,to stop doing 
2708,"to turn, rotate (tr.)",to change (tr.),to turn or rotate ,to change 
2709,"to turn, rotate (tr.)",to distort,to turn or rotate ,to distort
2710,"to turn, rotate (tr.)","to govern, control, rule",to turn or rotate ,to govern or control or rule
2711,"to turn, rotate (tr.)",to invest,to turn or rotate ,to invest
2712,"to turn, rotate (tr.)",to translate,to turn or rotate ,to translate
2713,to understand,to obey,to understand,to obey
2714,to undress (intr.),to challenge,to undress ,to challenge
2715,to undress (tr.),to rob,to undress ,to rob
2716,to undress (tr.),"to skin, flay",to undress ,to skin or flay
2717,"to unfold, unwind",to create a text,to unfold or unwind,to create a text
2718,"to unfold, unwind",to develop,to unfold or unwind,to develop
2719,"to unfold, unwind",to go after smb.,to unfold or unwind,to go after 
2720,"to untie, unbind",to begin (tr.),to untie or unbind,to begin 
2721,"to untie, unbind",to explain,to untie or unbind,to explain
2722,"to untie, unbind",to forgive,to untie or unbind,to forgive
2723,"to untie, unbind",to let,to untie or unbind,to let
2724,"to untie, unbind",to set free,to untie or unbind,to set free
2725,"to untie, unbind",to solve (a problem),to untie or unbind,to solve a problem
2726,"to untie, unbind",to stop doing smth.,to untie or unbind,to stop doing 
2727,to use,to employ,to use,to employ
2728,to vomit,"to swear, curse",to vomit,to swear or curse
2729,to wait,"to care for, look after",to wait,to care for or look after
2730,to wait,to need,to wait,to need
2731,to wake up (intr.),to erupt,to wake up ,to erupt
2732,"to walk, wander",to be engaged in commerce,to walk or wander,to be engaged in commerce
2733,"to walk, wander",to fornicate,to walk or wander,to fornicate
2734,"to walk, wander",to visit,to walk or wander,to visit
2735,to want,to fornicate,to want,to fornicate
2736,to want,to hunt,to want,to hunt
2737,to warm up,"to beat, hit",to warm up,to beat or hit
2738,to wash,to celebrate,to wash,to celebrate
2739,to wave (of water),"to worry, be agitated",to wave of water,to worry or be agitated
2740,to weaken (intr.),purgative (medicine),to weaken ,purgative medicine
2741,to weaken (intr.),to get drunk,to weaken ,to get drunk
2742,to weaken (intr.),to get tired,to weaken ,to get tired
2743,"to weaken, loosen",to fold (cloth),to weaken or loosen,to fold cloth
2744,to weigh (intr.),to think,to weigh ,to think
2745,"to wet, moisten","to beat, hit",to wet or moisten,to beat or hit
2746,"to wet, moisten",to dye,to wet or moisten,to dye
2747,to whet,to improve,to whet,to improve
2748,to wipe,to abolish,to wipe,to abolish
2749,to work,to give birth,to work,to give birth
2750,to wound (tr.),to offend (tr.),to wound ,to offend 
2751,to write,"to learn, study",to write,to learn or study
2752,toad,moon,toad,moon
2753,tongue (body part),cape,tongue body part,cape
2754,tongue (body part),captive,tongue body part,captive
2755,tongue (body part),gulf,tongue body part,gulf
2756,tongue (body part),"salient part, ledge",tongue body part,salient part or ledge
2757,tongue (body part),speech,tongue body part,speech
2758,tongue (body part),string (of a musical instrument),tongue body part,string of a musical instrument
2759,tooth,blade,tooth,blade
2760,tooth,clove (of a garlic),tooth,clove of a garlic
2761,tooth,"clove, segment",tooth,clove or segment
2762,tooth,horn,tooth,horn
2763,tooth,"rock, crag, cliff",tooth,rock or crag or cliff
2764,tooth,"salient part, ledge",tooth,salient part or ledge
2765,tooth,scissors,tooth,scissors
2766,tooth,tentacle (of animals),tooth,tentacle of animals
2767,tooth,thorn,tooth,thorn
2768,top,east,top,east
2769,top,eminent man,top,eminent man
2770,torso,person,torso,person
2771,"tortoise, turtle",Gemini (constellation),tortoise or turtle,Gemini constellation
2772,"tortoise, turtle",cuckold,tortoise or turtle,cuckold
2773,touched,insane,touched,insane
2774,tower,prison,tower,prison
2775,toy,flower,toy,flower
2776,transparent,comprehensible,transparent,comprehensible
2777,tree,coffin,tree,coffin
2778,tree,spear,tree,spear
2779,trench,afterbirth,trench,afterbirth
2780,tribe,kind (n.),tribe,kind 
2781,tribunal,territorial entity,tribunal,territorial entity
2782,troop (of animals),common minnow,troop of animals,common minnow
2783,trough,river-bed,trough,river bed
2784,truffle,potato,truffle,potato
2785,trumpet,"trunk, proboscis (of elephant)",trumpet,trunk or proboscis of elephant
2786,trunk (of a tree),barrel (of a gun),trunk of a tree,barrel of a gun
2787,trunk (of a tree),tribe,trunk of a tree,tribe
2788,"trunk, proboscis (of elephant)",tendril (of plant),trunk or proboscis of elephant,tendril of plant
2789,turbid,to feel sick,turbid,to feel sick
2790,turmeric (Curcuma),yellow,turmeric Curcuma,yellow
2791,umbrella,circular halo,umbrella,circular halo
2792,umbrella,parachute,umbrella,parachute
2793,uncle,woodland spirit,uncle,woodland spirit
2794,uncle (father's brother),bear (Ursus),uncle father's brother,bear 
2795,"underground, subterranean",illegal,underground or subterranean,illegal
2796,"underground, subterranean",secret,underground or subterranean,secret
2797,unhappy,leper,unhappy,leper
2798,unhappy,lovely,unhappy,lovely
2799,uninhabited (place),monastery,uninhabited place,monastery
2800,union,(masonry) mortar,union,masonry mortar
2801,unit of length,index finger,unit of length,index finger
2802,unripe (fruit),young,unripe fruit,young
2803,upper arm,cock (of a gun),upper arm,cock of a gun
2804,upper reach (of river),south,upper reach of river,south
2805,urban,cultivated (of person),urban,cultivated of person
2806,urine,child (son or daughter),urine,child son or daughter
2807,vagina,girl,vagina,girl
2808,vagina,womb,vagina,womb
2809,vehicle,"many, much",vehicle,many or much
2810,vehicle,shaman hand drum,vehicle,shaman hand drum
2811,vessel,ability,vessel,ability
2812,vessel,blood vessel,vessel,blood vessel
2813,vessel,"property, possessions",vessel,property or possessions
2814,violent,bear (Ursus),violent,bear 
2815,voice,vote,voice,vote
2816,vulture,police officer,vulture,police officer
2817,waist,girth,waist,girth
2818,warm,calm,warm,calm
2819,warm,drunk,warm,drunk
2820,warm,effeminate,warm,effeminate
2821,warm,"friendly, amicable",warm,friendly or amicable
2822,warm,gay,warm,gay
2823,warp,basis,warp,basis
2824,warp,longitude,warp,longitude
2825,wasp,hornet,wasp,hornet
2826,water,Mercury,water,Mercury
2827,water,kind (n.),water,kind 
2828,water-melon (Cucurbita citrullus),buttock,water melon  ,buttock
2829,wax,yellow,wax,yellow
2830,weak,bad,weak,bad
2831,weak,coward,weak,coward
2832,weak,inclination to smth,weak,inclination to 
2833,weak,not strong (of liquid or smell),weak,not strong of liquid or smell
2834,weak,poor,weak,poor
2835,weak,rare,weak,rare
2836,weak,stupid,weak,stupid
2837,weed,cannabis,weed,cannabis
2838,"weft, woof",latitude,weft or woof,latitude
2839,well-being,"property, possessions",well being,property or possessions
2840,wet,good,wet,good
2841,wet,"inert, passive",wet,inert or passive
2842,wet,"lavish, generous",wet,lavish or generous
2843,wet,weak,wet,weak
2844,wet,whore,wet,whore
2845,whale,big,whale,big
2846,wheel,vehicle,wheel,vehicle
2847,wheeze,radiointerference,wheeze,radio interference
2848,when,if,when,if
2849,whisper,intrigue,whisper,intrigue
2850,white,American,white,American
2851,white,Boletus edulis,white,penny bun fungus
2852,white,"albugo, wall-eye",white, wall eye
2853,white,bare (feet),white,bare feet
2854,white,beautiful,white,beautiful
2855,white,bed-clothes,white,bed clothes
2856,white,blank,white,blank
2857,white,innocent,white,innocent
2858,white,leprosy,white,leprosy
2859,white,pure,white,pure
2860,white,sober,white,sober
2861,white,underwear,white,underwear
2862,"wide, broad",big,wide or broad,big
2863,width,latitude,width,latitude
2864,wife,queen (playing card),wife,queen playing card
2865,"wild, untamed",bad,wild or untamed,bad
2866,"wild, untamed",barren (of animals),wild or untamed,barren of animals
2867,"wild, untamed",impulsive,wild or untamed,impulsive
2868,"wild, untamed",predator,wild or untamed,predator
2869,"wild, untamed","rude, impolite",wild or untamed,rude or impolite
2870,"wild, untamed",shy,wild or untamed,shy
2871,"wild, untamed",very,wild or untamed,very
2872,"wild, untamed",violent,wild or untamed,violent
2873,will,love,will,love
2874,will,will (legal document),will,will legal document
2875,willow,poplar (Populus alba),willow,poplar Populus alba
2876,wind,anger,wind,anger
2877,wind,disease,wind,disease
2878,wind,flatus,wind,flatus
2879,wind,quick,wind,quick
2880,wind,rumour,wind,rumor
2881,wind,sail (n.),wind,sail 
2882,wind,soul,wind,soul
2883,wine,brown,wine,brown
2884,wing,fin,wing,fin
2885,wing,flank (military),wing,flank military
2886,wing,"leaf (of door, window)",wing,leaf of door or window
2887,wing,oar,wing,oar
2888,wing,outbuilding,wing,outbuilding
2889,wing,sail (n.),wing,sail 
2890,wing,side (n.),wing,side 
2891,wing,to defend,wing,to defend
2892,winnowing fan,fan (hand-held),winnowing fan,fan hand held
2893,winter,North,winter,North
2894,winter,"mist, fog",winter,mist or fog
2895,winter,year,winter,year
2896,wire (n.),telegram,wire ,telegram
2897,"witch, sorceress",butterfly,witch or sorceress,butterfly
2898,"witch, sorceress",ladybird,witch or sorceress,ladybird
2899,with exception of,in addition to,with exception of,in addition to
2900,witness,martyr,witness,martyr
2901,"wizard, magician","doctor, physician",wizard or magician,doctor or physician
2902,"wizard, magician",fraudster,wizard or magician,fraudster
2903,wolf,pike (fish),wolf,pike fish
2904,wolf,poisonous,wolf,poisonous
2905,woman,Aloe vera (plant),woman,Aloe vera plant
2906,woman,sheaf,woman,sheaf
2907,womb,origin,womb,origin
2908,womb,relative (n.),womb,relative 
2909,womb,to feel pity,womb,to feel pity
2910,wood shavings,dandelion,wood shavings,dandelion
2911,"wood, timber",Jupiter,wood or timber,Jupiter
2912,"wood, timber",substance,wood or timber,substance
2913,wooden object,bastard,wooden object,bastard
2914,wooden object,pack of cards,wooden object,pack of cards
2915,woodland spirit,tiger,woodland spirit,tiger
2916,woodpecker,trigger (of a gun),woodpecker,trigger of a gun
2917,word,speech,word,speech
2918,word,thing,word,thing
2919,word,verb,word,verb
2920,work (n.),thing,work ,thing
2921,world,people (pl.),world,people 
2922,worm,ant,worm,ant
2923,worm,caterpillar,worm,caterpillar
2924,yam,potato,yam,potato
2925,yam,sweet potato (Ipomoea batatas),yam,sweet potato  batatas
2926,"yard, courtyard",court (of a sovereign),yard or courtyard,court of a sovereign
2927,"yard, courtyard",diaphragm,yard or courtyard,diaphragm
2928,"yard, courtyard",palace,yard or courtyard,palace
2929,yellow,hepatitis,yellow,hepatitis
2930,yesterday,recently,yesterday,recently
2931,yoke,unit of area,yoke,unit of area
2932,yoke,yoke (figuratively),yoke,yoke figuratively
2933,yolk,centre,yolk,center
2934,young,brave,young,brave
2935,young,newlywed,young,newlywed
2936,young man,soldier,young man,soldier
2937,younger brother,bear (Ursus),younger brother,bear 
2938,younger brother,husband,younger brother,husband
2939,younger brother,owner,younger brother,owner
2940,zebra,pedestrian crossing,zebra,pedestrian crossing
